Date,Tbill,Russell,S&P 500,Bonds,MSCI EAFE
1/8/06,0.003976,0.028506,0.021274,0.023037,0.025485
1/9/06,0.004283,0.007023,0.024566,0.033521,0.002219
2/10/06,0.004047,0.056850,0.031508,0.022313,0.037491
1/11/06,0.004076,0.025142,0.016467,0.011512,0.030730
1/12/06,0.004243,0.001959,0.012616,0.028752,0.031972
3/1/07,0.004036,0.016098,0.014059,-0.035085,0.013931
1/2/07,0.004328,-0.008796,-0.021846,-0.010679,-0.001212
1/3/07,0.003837,0.009341,0.009980,0.035901,0.028995
2/4/07,0.004257,0.017310,0.043291,-0.021418,0.037484
1/5/07,0.004348,0.040033,0.032549,0.008677,0.023623
1/6/07,0.004046,-0.015912,-0.017816,-0.025944,-0.003209
2/7/07,0.003918,-0.069066,-0.031982,-0.013263,-0.022905
1/8/07,0.003962,0.021569,0.012864,0.039013,-0.006336
4/9/07,0.004205,0.015879,0.035794,0.014998,0.053175
1/10/07,0.003347,0.028022,0.014822,0.002330,0.042499
1/11/07,0.003212,-0.072764,-0.044043,0.018432,-0.036237
3/12/07,0.003395,-0.002266,-0.008629,0.062646,-0.029813
2/1/08,0.002921,-0.068835,-0.061163,-0.008740,-0.078471
1/2/08,0.002430,-0.038020,-0.034761,0.025452,-0.010229
3/3/08,0.001325,0.002609,-0.005960,-0.007590,0.004190
1/4/08,0.001869,0.041005,0.047547,0.022067,0.054381
1/5/08,0.001025,0.044821,0.010674,-0.025128,0.011872
2/6/08,0.000946,-0.078340,-0.085962,-0.036625,-0.087868
1/7/08,0.001750,0.036047,-0.009859,0.036209,-0.033202
1/8/08,0.001440,0.034961,0.012190,-0.004120,-0.042476
2/9/08,0.001282,-0.081028,-0.090791,0.028500,-0.114362
1/10/08,0.001530,-0.209041,-0.169425,0.022345,-0.208348
3/11/08,0.000792,-0.119772,-0.074849,-0.007043,-0.063720
1/12/08,0.000228,0.055607,0.007822,0.174083,0.088684
2/1/09,0.000029,-0.111963,-0.085657,0.146556,-0.137316
2/2/09,0.000023,-0.122900,-0.109931,-0.147382,-0.103876
2/3/09,0.000147,0.086705,0.085404,-0.016446,0.083910
1/4/09,0.000159,0.153306,0.093925,0.035148,0.115190
1/5/09,0.000125,0.028755,0.053081,-0.084485,0.131918
1/6/09,0.000017,0.013358,0.000196,-0.045685,-0.014049
1/7/09,0.000075,0.095282,0.074142,0.004932,0.100415
3/8/09,0.000119,0.027591,0.033560,0.008809,0.045031
1/9/09,0.000116,0.056304,0.035723,0.024428,0.037965
1/10/09,0.000079,-0.068693,-0.019762,0.024703,-0.025238
2/11/09,0.000040,0.030137,0.057364,-0.024908,0.039212
1/12/09,0.000004,0.078761,0.017771,0.007072,0.007096
4/1/10,0.000062,-0.037337,-0.036974,-0.065864,-0.050651
1/2/10,0.000028,0.044050,0.028514,0.027461,0.002668
1/3/10,0.000010,0.079674,0.058796,-0.007626,0.063854
1/4/10,0.000068,0.055935,0.014759,-0.020687,-0.028046
3/5/10,0.000111,-0.076737,-0.081976,0.035549,-0.111928
1/6/10,0.000112,-0.078778,-0.053882,0.053640,-0.020619
1/7/10,0.000127,0.067926,0.068778,0.059837,0.116104
2/8/10,0.000142,-0.075020,-0.047449,-0.013921,-0.037950
1/9/10,0.000126,0.123044,0.087551,0.087291,0.099720
1/10/10,0.000125,0.040243,0.036856,-0.027620,0.038055
1/11/10,0.000112,0.033639,-0.002290,-0.047614,-0.048237
1/12/10,0.000114,0.077908,0.065300,-0.018947,0.083081
3/1/11,0.000140,-0.003063,0.022646,-0.033938,0.020955
1/2/11,0.000066,0.054016,0.031957,-0.033947,0.035498
1/3/11,0.000122,0.024409,-0.001047,0.013722,-0.023883
1/4/11,0.000067,0.025772,0.028495,0.002477,0.056258
2/5/11,0.000053,-0.019635,-0.013501,0.021352,-0.022061
1/6/11,0.000013,-0.024602,-0.018257,0.034299,-0.012107
1/7/11,0.000035,-0.036740,-0.021474,-0.020789,-0.023778
1/8/11,-0.000028,-0.088102,-0.056791,0.045989,-0.087549
1/9/11,0.000083,-0.113716,-0.071762,0.100108,-0.108083
3/10/11,-0.000001,0.150429,0.107723,0.138029,0.096275
1/11/11,0.000014,-0.004912,-0.005059,-0.037082,-0.021764
1/12/11,0.000004,0.004746,0.008533,0.021636,-0.021750
